pca_components,min_cluster_size,min_samples,method,epsilon,n_clusters,n_noise,coverage,dbcv,base_score,count_penalty,final_score
2,10,1,eom,0.0,38,346,0.6834,0.155,0.1059,0.1562,0.0166
2,10,1,eom,0.3,16,223,0.796,0.0716,0.057,0.3226,0.0184
2,10,1,eom,0.5,6,94,0.914,0.0166,0.0152,0.625,0.0095
2,10,1,eom,1.0,2,62,0.9433,0.0088,0.0083,1.0,0.0083
2,10,1,leaf,0.0,42,384,0.6487,0.1661,0.1078,0.1429,0.0154
2,10,1,leaf,0.3,16,223,0.796,0.0716,0.057,0.3226,0.0184
2,10,1,leaf,0.5,6,94,0.914,0.0166,0.0152,0.625,0.0095
2,10,1,leaf,1.0,2,62,0.9433,0.0088,0.0083,1.0,0.0083
2,10,3,eom,0.0,3,148,0.8646,0.027,0.0233,0.8696,0.0203
2,10,3,eom,0.3,3,148,0.8646,0.027,0.0233,0.8696,0.0203
2,10,3,eom,0.5,3,148,0.8646,0.027,0.0233,0.8696,0.0203
2,10,3,eom,1.0,2,98,0.9103,0.004,0.0036,1.0,0.0036
2,10,3,leaf,0.0,30,580,0.4694,0.2219,0.1042,0.1923,0.02
2,10,3,leaf,0.3,12,395,0.6386,0.0844,0.0539,0.4,0.0216
2,10,3,leaf,0.5,3,148,0.8646,0.027,0.0233,0.8696,0.0203
2,10,3,leaf,1.0,2,98,0.9103,0.004,0.0036,1.0,0.0036
2,10,5,eom,0.0,5,377,0.6551,0.0412,0.027,0.6897,0.0186
2,10,5,eom,0.3,5,377,0.6551,0.0412,0.027,0.6897,0.0186
2,10,5,eom,0.5,2,197,0.8198,0.0001,0.0001,1.0,0.0001
2,10,5,eom,1.0,2,197,0.8198,0.0001,0.0001,1.0,0.0001
2,10,5,leaf,0.0,19,729,0.333,0.1183,0.0394,0.2817,0.0111
2,10,5,leaf,0.3,13,630,0.4236,0.0555,0.0235,0.3774,0.0089
2,10,5,leaf,0.5,2,197,0.8198,0.0001,0.0001,1.0,0.0001
2,10,5,leaf,1.0,2,197,0.8198,0.0001,0.0001,1.0,0.0001
2,10,10,eom,0.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,10,10,eom,0.3,2,293,0.7319,0.0,0.0,1.0,0.0
2,10,10,eom,0.5,2,293,0.7319,0.0,0.0,1.0,0.0
2,10,10,eom,1.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,10,10,leaf,0.0,13,841,0.2306,0.0414,0.0096,0.3774,0.0036
2,10,10,leaf,0.3,13,841,0.2306,0.0414,0.0096,0.3774,0.0036
2,10,10,leaf,0.5,4,456,0.5828,0.0291,0.017,0.7692,0.0131
2,10,10,leaf,1.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,1,eom,0.0,3,99,0.9094,0.0314,0.0285,0.8696,0.0248
2,15,1,eom,0.3,3,99,0.9094,0.0314,0.0285,0.8696,0.0248
2,15,1,eom,0.5,3,99,0.9094,0.0314,0.0285,0.8696,0.0248
2,15,1,eom,1.0,2,62,0.9433,0.0088,0.0083,1.0,0.0083
2,15,1,leaf,0.0,22,527,0.5178,0.22,0.1139,0.25,0.0285
2,15,1,leaf,0.3,9,292,0.7328,0.0697,0.0511,0.4878,0.0249
2,15,1,leaf,0.5,3,99,0.9094,0.0314,0.0285,0.8696,0.0248
2,15,1,leaf,1.0,2,62,0.9433,0.0088,0.0083,1.0,0.0083
2,15,3,eom,0.0,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,3,eom,0.3,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,3,eom,0.5,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,3,eom,1.0,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,3,leaf,0.0,17,651,0.4044,0.1666,0.0674,0.3077,0.0207
2,15,3,leaf,0.3,7,438,0.5993,0.0691,0.0414,0.5714,0.0237
2,15,3,leaf,0.5,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,3,leaf,1.0,2,159,0.8545,0.0173,0.0148,1.0,0.0148
2,15,5,eom,0.0,4,389,0.6441,0.0306,0.0197,0.7692,0.0151
2,15,5,eom,0.3,4,389,0.6441,0.0306,0.0197,0.7692,0.0151
2,15,5,eom,0.5,2,312,0.7145,0.0013,0.001,1.0,0.001
2,15,5,eom,1.0,2,312,0.7145,0.0013,0.001,1.0,0.001
2,15,5,leaf,0.0,12,728,0.3339,0.0979,0.0327,0.4,0.0131
2,15,5,leaf,0.3,9,656,0.3998,0.0473,0.0189,0.4878,0.0092
2,15,5,leaf,0.5,2,312,0.7145,0.0013,0.001,1.0,0.001
2,15,5,leaf,1.0,2,312,0.7145,0.0013,0.001,1.0,0.001
2,15,10,eom,0.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,10,eom,0.3,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,10,eom,0.5,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,10,eom,1.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,10,leaf,0.0,8,851,0.2214,0.0848,0.0188,0.5263,0.0099
2,15,10,leaf,0.3,8,851,0.2214,0.0848,0.0188,0.5263,0.0099
2,15,10,leaf,0.5,2,293,0.7319,0.0,0.0,1.0,0.0
2,15,10,leaf,1.0,2,293,0.7319,0.0,0.0,1.0,0.0
2,25,1,eom,0.0,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,1,eom,0.3,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,1,eom,0.5,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,1,eom,1.0,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,1,leaf,0.0,9,588,0.462,0.0917,0.0424,0.4878,0.0207
2,25,1,leaf,0.3,4,389,0.6441,0.0311,0.02,0.7692,0.0154
2,25,1,leaf,0.5,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,1,leaf,1.0,2,119,0.8911,0.0314,0.0279,1.0,0.0279
2,25,3,eom,0.0,4,571,0.4776,0.0868,0.0415,0.7692,0.0319
2,25,3,eom,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,3,eom,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,3,eom,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,3,leaf,0.0,6,652,0.4035,0.0899,0.0363,0.625,0.0227
2,25,3,leaf,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,3,leaf,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,3,leaf,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,25,5,eom,0.0,6,765,0.3001,0.176,0.0528,0.625,0.033
2,25,5,eom,0.3,5,721,0.3403,0.1132,0.0385,0.6897,0.0266
2,25,5,eom,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,25,5,eom,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,25,5,leaf,0.0,6,765,0.3001,0.176,0.0528,0.625,0.033
2,25,5,leaf,0.3,5,721,0.3403,0.1132,0.0385,0.6897,0.0266
2,25,5,leaf,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,25,5,leaf,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,25,10,eom,0.0,4,824,0.2461,0.0683,0.0168,0.7692,0.0129
2,25,10,eom,0.3,4,824,0.2461,0.0683,0.0168,0.7692,0.0129
2,25,10,eom,0.5,2,792,0.2754,0.0001,0.0,1.0,0.0
2,25,10,eom,1.0,2,792,0.2754,0.0001,0.0,1.0,0.0
2,25,10,leaf,0.0,6,866,0.2077,0.0699,0.0145,0.625,0.0091
2,25,10,leaf,0.3,6,866,0.2077,0.0699,0.0145,0.625,0.0091
2,25,10,leaf,0.5,2,792,0.2754,0.0001,0.0,1.0,0.0
2,25,10,leaf,1.0,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,1,eom,0.0,3,504,0.5389,0.2162,0.1165,0.8696,0.1013
2,40,1,eom,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,1,eom,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,1,eom,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,1,leaf,0.0,5,669,0.3879,0.0056,0.0022,0.6897,0.0015
2,40,1,leaf,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,1,leaf,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,1,leaf,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,40,3,eom,0.0,3,549,0.4977,0.0009,0.0004,0.8696,0.0004
2,40,3,eom,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,3,eom,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,3,eom,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,3,leaf,0.0,4,672,0.3852,0.2588,0.0997,0.7692,0.0767
2,40,3,leaf,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,3,leaf,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,3,leaf,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,40,5,eom,0.0,3,747,0.3166,0.1133,0.0359,0.8696,0.0312
2,40,5,eom,0.3,3,747,0.3166,0.1133,0.0359,0.8696,0.0312
2,40,5,eom,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,40,5,eom,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,40,5,leaf,0.0,4,817,0.2525,0.1526,0.0385,0.7692,0.0296
2,40,5,leaf,0.3,3,747,0.3166,0.1133,0.0359,0.8696,0.0312
2,40,5,leaf,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,40,5,leaf,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,40,10,eom,0.0,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,10,eom,0.3,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,10,eom,0.5,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,10,eom,1.0,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,10,leaf,0.0,4,923,0.1555,0.0762,0.0119,0.7692,0.0091
2,40,10,leaf,0.3,4,923,0.1555,0.0762,0.0119,0.7692,0.0091
2,40,10,leaf,0.5,2,792,0.2754,0.0001,0.0,1.0,0.0
2,40,10,leaf,1.0,2,792,0.2754,0.0001,0.0,1.0,0.0
2,60,1,eom,0.0,3,504,0.5389,0.2162,0.1165,0.8696,0.1013
2,60,1,eom,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,1,eom,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,1,eom,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,1,leaf,0.0,4,569,0.4794,0.2171,0.1041,0.7692,0.0801
2,60,1,leaf,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,1,leaf,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,1,leaf,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,60,3,eom,0.0,3,549,0.4977,0.0009,0.0004,0.8696,0.0004
2,60,3,eom,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,3,eom,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,3,eom,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,3,leaf,0.0,3,549,0.4977,0.0009,0.0004,0.8696,0.0004
2,60,3,leaf,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,3,leaf,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,3,leaf,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,60,5,eom,0.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,eom,0.3,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,eom,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,eom,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,leaf,0.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,leaf,0.3,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,leaf,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,5,leaf,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,60,10,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,eom,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,eom,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,eom,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,leaf,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,leaf,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,leaf,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,60,10,leaf,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,1,eom,0.0,3,504,0.5389,0.2162,0.1165,0.8696,0.1013
2,80,1,eom,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,1,eom,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,1,eom,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,1,leaf,0.0,3,504,0.5389,0.2162,0.1165,0.8696,0.1013
2,80,1,leaf,0.3,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,1,leaf,0.5,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,1,leaf,1.0,2,419,0.6167,0.0034,0.0021,1.0,0.0021
2,80,3,eom,0.0,3,549,0.4977,0.0009,0.0004,0.8696,0.0004
2,80,3,eom,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,3,eom,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,3,eom,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,3,leaf,0.0,3,549,0.4977,0.0009,0.0004,0.8696,0.0004
2,80,3,leaf,0.3,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,3,leaf,0.5,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,3,leaf,1.0,2,514,0.5297,0.001,0.0006,1.0,0.0006
2,80,5,eom,0.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,eom,0.3,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,eom,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,eom,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,leaf,0.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,leaf,0.3,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,leaf,0.5,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,5,leaf,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,10,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,10,1,eom,0.0,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,0.3,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,0.5,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,1.0,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,leaf,0.0,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,0.3,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,0.5,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,1.0,14,764,0.301,0.0162,0.0049,0.3571,0.0017
5,10,3,eom,0.0,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,0.3,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,0.5,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,1.0,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
