pca_components,cluster_method,min_samples,min_cluster_size,xi,eps,n_clusters,n_noise,coverage,silhouette,base_score,count_penalty,final_score
2,xi,3,10,0.01,,41,589,0.4611,0.5013,0.1066,0.146,0.0156
2,xi,3,10,0.03,,38,622,0.4309,0.5067,0.0941,0.1562,0.0147
2,xi,3,10,0.05,,35,639,0.4154,0.5099,0.088,0.1681,0.0148
2,xi,3,10,0.1,,25,760,0.3047,0.5738,0.0533,0.2247,0.012
2,xi,3,10,0.2,,4,1050,0.0393,0.8028,0.0012,0.7692,0.001
2,dbscan,3,10,,0.2,88,531,0.5142,0.418,0.1105,0.0719,0.008
2,dbscan,3,10,,0.3,37,243,0.7777,-0.0889,-1.0,1.0,-1.0
2,dbscan,3,10,,0.5,13,97,0.9113,0.0016,0.0013,0.3774,0.0005
2,dbscan,3,10,,1.0,3,29,0.9735,0.3737,0.3541,0.8696,0.3079
2,xi,3,20,0.01,,13,760,0.3047,0.4962,0.0461,0.3774,0.0174
2,xi,3,20,0.03,,12,734,0.3285,0.4454,0.048,0.4,0.0192
2,xi,3,20,0.05,,8,832,0.2388,0.4657,0.0266,0.5263,0.014
2,xi,3,20,0.1,,3,1030,0.0576,0.5925,0.002,0.8696,0.0017
2,xi,3,20,0.2,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,dbscan,3,20,,0.2,88,531,0.5142,0.418,0.1105,0.0719,0.008
2,dbscan,3,20,,0.3,37,243,0.7777,-0.0889,-1.0,1.0,-1.0
2,dbscan,3,20,,0.5,13,97,0.9113,0.0016,0.0013,0.3774,0.0005
2,dbscan,3,20,,1.0,3,29,0.9735,0.3737,0.3541,0.8696,0.3079
2,xi,3,30,0.01,,6,851,0.2214,0.4501,0.0221,0.625,0.0138
2,xi,3,30,0.03,,4,904,0.1729,0.4893,0.0146,0.7692,0.0113
2,xi,3,30,0.05,,3,942,0.1382,0.61,0.0116,0.8696,0.0101
2,xi,3,30,0.1,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,xi,3,30,0.2,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,dbscan,3,30,,0.2,88,531,0.5142,0.418,0.1105,0.0719,0.008
2,dbscan,3,30,,0.3,37,243,0.7777,-0.0889,-1.0,1.0,-1.0
2,dbscan,3,30,,0.5,13,97,0.9113,0.0016,0.0013,0.3774,0.0005
2,dbscan,3,30,,1.0,3,29,0.9735,0.3737,0.3541,0.8696,0.3079
2,xi,3,50,0.01,,5,820,0.2498,0.4428,0.0276,0.6897,0.0191
2,xi,3,50,0.03,,3,922,0.1565,0.5912,0.0145,0.8696,0.0126
2,xi,3,50,0.05,,2,979,0.1043,0.8234,0.009,1.0,0.009
2,xi,3,50,0.1,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,xi,3,50,0.2,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,dbscan,3,50,,0.2,88,531,0.5142,0.418,0.1105,0.0719,0.008
2,dbscan,3,50,,0.3,37,243,0.7777,-0.0889,-1.0,1.0,-1.0
2,dbscan,3,50,,0.5,13,97,0.9113,0.0016,0.0013,0.3774,0.0005
2,dbscan,3,50,,1.0,3,29,0.9735,0.3737,0.3541,0.8696,0.3079
2,xi,5,10,0.01,,34,631,0.4227,0.5038,0.09,0.1724,0.0155
2,xi,5,10,0.03,,30,668,0.3888,0.508,0.0768,0.1923,0.0148
2,xi,5,10,0.05,,23,759,0.3056,0.5577,0.0521,0.241,0.0126
2,xi,5,10,0.1,,10,953,0.1281,0.7306,0.012,0.4545,0.0054
2,xi,5,10,0.2,,2,1068,0.0229,0.7898,0.0004,1.0,0.0004
2,dbscan,5,10,,0.2,32,858,0.215,0.5771,0.0267,0.1818,0.0049
2,dbscan,5,10,,0.3,25,395,0.6386,-0.1342,-1.0,1.0,-1.0
2,dbscan,5,10,,0.5,7,150,0.8628,-0.1156,-1.0,1.0,-1.0
2,dbscan,5,10,,1.0,1,38,0.9652,-1.0,-1.0,1.0,-1.0
2,xi,5,20,0.01,,15,707,0.3532,0.4771,0.0595,0.339,0.0202
2,xi,5,20,0.03,,12,789,0.2781,0.584,0.0452,0.4,0.0181
2,xi,5,20,0.05,,7,927,0.1519,0.6984,0.0161,0.5714,0.0092
2,xi,5,20,0.1,,2,1050,0.0393,0.9185,0.0014,1.0,0.0014
2,xi,5,20,0.2,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,dbscan,5,20,,0.2,32,858,0.215,0.5771,0.0267,0.1818,0.0049
2,dbscan,5,20,,0.3,25,395,0.6386,-0.1342,-1.0,1.0,-1.0
2,dbscan,5,20,,0.5,7,150,0.8628,-0.1156,-1.0,1.0,-1.0
2,dbscan,5,20,,1.0,1,38,0.9652,-1.0,-1.0,1.0,-1.0
2,xi,5,30,0.01,,7,825,0.2452,0.4435,0.0267,0.5714,0.0152
2,xi,5,30,0.03,,4,952,0.129,0.5503,0.0092,0.7692,0.007
2,xi,5,30,0.05,,2,1015,0.0714,0.8544,0.0044,1.0,0.0044
2,xi,5,30,0.1,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,xi,5,30,0.2,,1,0,1.0,-1.0,-1.0,1.0,-1.0
2,dbscan,5,30,,0.2,32,858,0.215,0.5771,0.0267,0.1818,0.0049
2,dbscan,5,30,,0.3,25,395,0.6386,-0.1342,-1.0,1.0,-1.0
2,dbscan,5,30,,0.5,7,150,0.8628,-0.1156,-1.0,1.0,-1.0
2,dbscan,5,30,,1.0,1,38,0.9652,-1.0,-1.0,1.0,-1.0
2,xi,5,50,0.01,,3,902,0.1747,0.6093,0.0186,0.8696,0.0162
